M/N,"SNR, dB",Algorithm
0.1666,22,BP
0.1666,24,TV
0.1666,26,RWBPDb8
0.1666,27.8,BPSA
0.1666,22.1,RWBP
0.1666,24.5,RWTV
0.1666,26,BPDb8
0.1666,30,SARA
0.333,23,RWBP
0.333,22.8,BP
0.333,25.5,TV
0.333,27.5,RWTV
0.333,27,BPDb8
0.333,29.5,RWBPDb8
0.333,28.2,BPSA
0.333,32,SARA
0.6667,23.5,BP
0.6667,23.6,RWBP
0.6667,26,TV
0.6667,27.5,BPDb8
0.6667,28.5,RWTV
0.6667,28.5,BPSA
0.6667,31,RWBPDb8
0.6667,33,SARA
0.8333,24,BP
0.8333,24.3,RWBP
0.8333,26.5,TV
0.8333,28,BPDb8
0.8333,28.5,RWTV
0.8333,28.8,BPSA
0.8333,31,RWBPDb8
0.8333,34,SARA
1,24.5,BP
1,24.8,RWBP
1,26,TV
1,29,RWTV
1,29.3,BPDb8
1,30,BPSA
1,31.5,RWBPDb8
1,34,SARA
1.16667,25,BP
1.16667,25.3,RWBP
1.16667,27,TV
1.16667,29,RWTV
1.16667,30,BPDb8
1.16667,31,BPSA
1.16667,32,RWBPDb8
1.16667,35,SARA
1.333,25.3,BP
1.333,26,RWBP
1.333,26.5,TV
1.333,29.5,RWTV
1.333,30,BPDb8
1.333,31.8,BPSA
1.333,32,RWBPDb8
1.333,35,SARA
1.6667,25.5,BP
1.6667,26,RWBP
1.6667,26.6,TV
1.6667,30,RWTV
1.6667,30.2,BPDb8
1.6667,31,BPSA
1.6667,32.5,RWBPDb8
1.6667,35.1,SARA
1.8333,25.8,BP
1.8333,26.2,RWBP
1.8333,28,TV
1.8333,30.5,RWTV
1.8333,30.7,BPDb8
1.8333,31.5,BPSA
1.8333,35,RWBPDb8
1.8333,35.5,SARA
2,26,BP
2,27,RWBP
2,27.5,TV
2,30,BPDb8
2,30.7,RWTV
2,31,BPSA
2,32,RWBPDb8
2,36,SARA
